"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @SBS8news: 미세먼지의 심각성이 커지면서 최근엔 노후된 석탄 화력 발전소 가동을 중단하기로 했는데요, 당장 효과가 나오진 않겠지만, 이런 움직임들이 환경에 초점을 맞춘 에너지 정책이기 때문에 앞으로의 변화가 기대됩니다. https://t…",FALSE,0,NA,2017-05-16 23:59:44,FALSE,NA,"864631483402670080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jkko26351",21,TRUE,FALSE,NA,NA
"2","RT @harrypocachip: 5월 미세먼지로 힘드신가요? 교리비교 세미나로 힐링하세요!! (출처 : 신천지 패밀리 | 네이버 카페) https://t.co/6y5bmraEkw",FALSE,0,NA,2017-05-16 23:59:18,FALSE,NA,"864631375479033856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","51chmic",35,TRUE,FALSE,NA,NA
"3","RT @JTBC_news: [JTBC 뉴스룸] 미세먼지 '중국발 유입', 지난해 이미 밝혀냈다 https://t.co/QKu3DSPU5z 중국, 그동안 '중국발' 미세먼지, 과학적 검증 부족하다는 입장. 하지만, 지난해 한·중 공동연구단이 베이징·서…",FALSE,0,NA,2017-05-16 23:59:06,FALSE,NA,"864631324149071872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hi______hai",812,TRUE,FALSE,NA,NA
"4","RT @JTBC_news: [JTBC 뉴스룸] 미세먼지 '중국발 유입', 지난해 이미 밝혀냈다 https://t.co/QKu3DSPU5z 중국, 그동안 '중국발' 미세먼지, 과학적 검증 부족하다는 입장. 하지만, 지난해 한·중 공동연구단이 베이징·서…",FALSE,0,NA,2017-05-16 23:58:55,FALSE,NA,"864631278494031873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","croe69",812,TRUE,FALSE,NA,NA
"5","@hunjeng 젱 님 좋은 아침이에요 잠은 푹 주무셨나요? <ed><U+00A0><U+00BD><ed><U+00B8><U+0083>
저는 아침운동 막 하고 오는 길이에요 ㅋㅋㅋㅋ
운동은 여전히 힘드네요 한 지 3일 밖에 안 됐지만... <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
일어나셔서 식사 꼭 챙기시고 좋은… https://t.co/BHIwWJhgsJ",FALSE,0,"hunjeng",2017-05-16 23:58:54,TRUE,"864533974307053568","864631275797098498","1314492985","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kxR0hxjGwx",0,FALSE,FALSE,NA,NA
"6","며칠 미세먼지 없었다고 코딱지 덜생기냐...",FALSE,0,NA,2017-05-16 23:58:51,FALSE,NA,"864631262480261121",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pibchaban",0,FALSE,FALSE,NA,NA
"7","서울이 이렇게 시야가 뿌연대도 미세먼지수치가 50대래...이것도 속이는 거냐?",FALSE,0,NA,2017-05-16 23:58:46,FALSE,NA,"864631241651363841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Gruturgee",0,FALSE,FALSE,NA,NA
"8","RT @kwang82: 빌 게이츠가 예언한 7가지 미래 중 ""2030년까지 친환경 에너지의 돌파구를 찾을 것이다""가 눈에 띈다. 화석연료를 대체하지 못하면 서울시민들은 미세먼지 때문애 숨도 제대로 못 쉬지 않겠나. https://t.co/Ynu5vU…",FALSE,0,NA,2017-05-16 23:58:39,FALSE,NA,"864631212102434816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wannabafreeman",75,TRUE,FALSE,NA,NA
"9","[VIEW POINT] 미세먼지 `공짜점심` 없다 (출처 : 매일경제 | 네이버 뉴스) https://t.co/AIoBiXEuUs
미세먼지 구라쳐 서민간접증세 또 지롤! 경유면세쿠폰 줄꺼냐?  간접세로 서민 삥뜯어 거지만들곤 국가배급제로 인심쓰세!",FALSE,0,NA,2017-05-16 23:58:39,FALSE,NA,"864631211590688768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ppodoripposuni",0,FALSE,FALSE,NA,NA
"10","@palangbird1221 한국도 미세먼지만 없으먄 짱짱이쁠텐데ㅠㅠㅠ",FALSE,0,"palangbird1221",2017-05-16 23:58:34,FALSE,"864431408084729857","864631191823159296","4744236602","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tobi_kermit",0,FALSE,FALSE,NA,NA
